package,in_degree,betweenness,eigenvector,kcore,predicted_risk
onnxconverter-common,1,0.0,0.009679110994699088,1,0.008129184853274967
phonemizer,1,0.0,0.009679110994699088,1,0.008129184853274967
kernels,1,0.0,0.009679110994699088,1,0.008129184853274967
sigopt,1,0.0,0.009679110994699088,1,0.008129184853274967
jaxlib,1,0.0,0.009679110994699088,1,0.008129184853274967
ipadic,1,0.0,0.009679110994699088,1,0.008129184853274967
keras-nlp,1,0.0,0.009679110994699088,1,0.008129184853274967
tensorflow-text,1,0.0,0.009679110994699088,1,0.008129184853274967
tf2onnx,1,0.0,0.009679110994699088,1,0.008129184853274967
kenlm,1,0.0,0.009679110994699088,1,0.008129184853274967
rhoknp,1,0.0,0.009679110994699088,1,0.008129184853274967
pyctcdecode,1,0.0,0.009679110994699088,1,0.008129184853274967
evaluate,1,0.0,0.009679110994699088,1,0.008129184853274967
optuna,1,0.0,0.009679110994699088,1,0.008129184853274967
pytest-rich,1,0.0,0.009679110994699088,1,0.008129184853274967
fugashi,1,0.0,0.009679110994699088,1,0.008129184853274967
mistral-common,1,0.0,0.009679110994699088,1,0.008129184853274967
natten,1,0.0,0.009679110994699088,1,0.008129184853274967
sudachidict_core,1,0.0,0.009679110994699088,1,0.008129184853274967
flax,1,0.0,0.009679110994699088,1,0.008129184853274967
sacrebleu,1,0.0,0.009679110994699088,1,0.008129184853274967
pytest-order,1,0.0,0.009679110994699088,1,0.008129184853274967
rouge-score,1,0.0,0.009679110994699088,1,0.008129184853274967
tensorflow-cpu,1,0.0,0.009679110994699088,1,0.008129184853274967
onnxruntime-tools,1,0.0,0.009679110994699088,1,0.008129184853274967
codecarbon,1,0.0,0.009679110994699088,1,0.008129184853274967
jax,1,0.0,0.009679110994699088,1,0.008129184853274967
unidic_lite,1,0.0,0.009679110994699088,1,0.008129184853274967
unidic,1,0.0,0.009679110994699088,1,0.008129184853274967
rjieba,1,0.0,0.009679110994699088,1,0.008129184853274967
sudachipy,1,0.0,0.009679110994699088,1,0.008129184853274967
optimum-benchmark,1,0.0,0.009679110994699088,1,0.008129184853274967
tensorflow-probability,1,0.0,0.009679110994699088,1,0.008129184853274967
hf_xet,1,0.0,0.009679110994699088,1,0.008129184853274967
av,1,0.0,0.009679110994699088,1,0.008129184853274967
optax,1,0.0,0.009679110994699088,1,0.008129184853274967
